movie_title,wiki_summary
Alien: Resurrection (1997),"Alien Resurrection is a 1997 American science fiction horror film, directed by Jean-Pierre Jeunet, written by Joss Whedon, and starring Sigourney Weaver and Winona Ryder."
Aliens (1986),Aliens is a 1986 science fiction action film written and directed by James Cameron.
All About Eve (1950),"All About Eve is a 1950 American drama film written and directed by Joseph L. Mankiewicz, and produced by Darryl F. Zanuck."
All Dogs Go to Heaven 2 (1996),"All Dogs Go to Heaven 2 is a 1996 American animated musical fantasy adventure film, and a sequel to Goldcrest Films' animated film All Dogs Go to Heaven (1989)."
All Over Me (1997),"All Over Me is a 1997 American teen drama film directed by Alex Sichel and written by her sister, Sylvia Sichel."
All Things Fair (1996),"All Things Fair (Swedish: Lust och fägring stor, literally ""Desire and Great Beauty"") is a Swedish film written and directed by Bo Widerberg."
Alphaville (1965),Alphaville: une étrange aventure de Lemmy Caution (Alphaville: A Strange Adventure of Lemmy Caution) is a 1965 French New Wave science fiction neo-noir film directed by Jean-Luc Godard.
Amateur (1994),"Amateur is a 1994 crime comedy-drama film written and directed by Hal Hartley and starring Isabelle Huppert, Martin Donovan, Elina Löwensohn, and Damian Young."
"Amazing Panda Adventure, The (1995)","The Amazing Panda Adventure is a 1995 American adventure film directed by Christopher Cain and starring Stephen Lang, Yi Ding, and Ryan Slater."
American Buffalo (1996),"American Buffalo is a 1996 drama film directed by Michael Corrente and starring Dustin Hoffman, Dennis Franz, and Sean Nelson, the only members of the cast."
American Dream (1990),"Dreams (夢, Yume) is a 1990 magical realist anthology film of eight vignettes written and directed by Akira Kurosawa, starring Akira Terao, Martin Scorsese, Chishū Ryū, Mieko Harada and Mitsuko Baisho."
"American President, The (1995)",The American President is a 1995 American romantic comedy-drama film directed and produced by Rob Reiner and written by Aaron Sorkin.
American Strays (1996),American Strays is a 1996 American comedy-drama film directed by Michael Covert.
"American Werewolf in London, An (1981)",An American Werewolf in London is a 1981 comedy horror werewolf film written and directed by John Landis.
"American in Paris, An (1951)",An American in Paris is a 1951 American musical romantic comedy film inspired by the 1928 jazz-influenced symphonic poem (or tone poem) An American in Paris by George Gershwin.
Amistad (1997),"Amistad is a 1997 American historical drama film directed by Steven Spielberg, based on the events in 1839 aboard the Spanish slave ship La Amistad, during which Mende tribesmen abducted for the slave trade managed to gain control of their captors' ship off the coast of Cuba, and the international legal battle that followed their capture by the Washington, a U.S. revenue cutter."
Amityville 1992: It's About Time (1992),The Amityville haunting is a modern folk story based on the true crimes of Ronald DeFeo Jr.
"Amityville Curse, The (1990)","The Amityville Curse (released in the Philippines as Amityville Horror 1993) is a 1990 Canadian supernatural horror film directed by Tom Berry and starring Kim Coates, Cassandra Gava and Jan Rubeš."
"Amityville Horror, The (1979)","The Amityville Horror is a 1979 American supernatural horror film directed by Stuart Rosenberg, and starring James Brolin, Margot Kidder, and Rod Steiger."
Amityville II: The Possession (1982),"Amityville II: The Possession is a 1982 supernatural horror film directed by Damiano Damiani and starring James Olson, Burt Young, Rutanya Alda, Jack Magner, and Diane Franklin."
Amityville: A New Generation (1993),Amityville:  A New Generation is a 1993 direct to video American supernatural horror film directed by John Murlowski.
Amityville: Dollhouse (1996),"Amityville Dollhouse is a 1996 American supernatural horror film directed by Steve White and starring Robin Thomas, Allen Cutler, Lenore Kasdorf, and Lisa Robin Kelly."
Amos & Andrew (1993),Amos & Andrew is a 1993 American buddy action-comedy film directed and written by E. Max Frye and starring Nicolas Cage and Samuel L. Jackson.
An Unforgettable Summer (1994),An Unforgettable Summer (French: Un été inoubliable; Romanian: O vară de neuitat) is a 1994 drama film directed and produced by Lucian Pintilie.
Anaconda (1997),"Anaconda is a 1997 American adventure horror film directed by Luis Llosa and starring Jennifer Lopez, Ice Cube, Jon Voight, Eric Stoltz, Jonathan Hyde and Owen Wilson."
Anastasia (1997),"Anastasia is a 1997 American animated musical fantasy drama film produced and directed by Don Bluth and Gary Goldman from a screenplay by Susan Gauthier, Bruce Graham, and the writing team of Bob Tzudiker and Noni White."
Angel Baby (1995),"Angel Baby is a 1995 Australian drama film written and directed by Michael Rymer and starring John Lynch, Jacqueline McKenzie and Colin Friels."
Angel and the Badman (1947),"Angel and the Badman is a 1947 American Western film written and directed by James Edward Grant and starring John Wayne, Gail Russell, Harry Carey and Bruce Cabot."
Angel on My Shoulder (1946),"Angel on My Shoulder is a 1946 American supernatural film directed by Archie Mayo (his last film) and starring Paul Muni, Anne Baxter and Claude Rains."
Angela (1995),"Angela is a 1995 American drama film directed by Rebecca Miller and starring John Ventimiglia, Anna Thomson, Miranda Stuart Rhyne and Vincent Gallo."
Angels and Insects (1995),"Angels & Insects is a 1995 romantic drama film directed by Philip Haas and starring Mark Rylance, Patsy Kensit, and Kristin Scott Thomas."
Angels in the Outfield (1994),Angels in the Outfield is a 1994 American family sports fantasy comedy-drama film directed by William Dear.
Angus (1995),Angus is a 1995 coming-of-age comedy film directed by Patrick Read Johnson.
Anna (1996),Anna Paquin ( PAK-win; born 24 July 1982) is a Canadian and New Zealand actress.
Anna Karenina (1997),"Anna Karenina is a 1997 American period drama film written and directed by Bernard Rose and starring Sophie Marceau, Sean Bean, Alfred Molina, Mia Kirshner and James Fox."
Anne Frank Remembered (1995),"Anne Frank Remembered is a 1995 British documentary film produced and directed by Jon Blair about the life and posthumously published diary of the German-Jewish diarist, Anne Frank, who spent most of her life in the Netherlands."
Annie Hall (1977),"Annie Hall is a 1977 American satirical romantic comedy-drama film directed by Woody Allen from a screenplay written by Allen and Marshall Brickman, and produced by Allen's manager, Charles H. Joffe."
Another Stakeout (1993),"Another Stakeout is a 1993 American buddy cop action comedy film directed by John Badham and starring Richard Dreyfuss, Emilio Estevez, and Rosie O'Donnell."
Antonia's Line (1995),Antonia's Line (Original title: Antonia) is a 1995 Dutch feminist film written and directed by Marleen Gorris.
Aparajito (1956),"Aparajito (Bengali: অপরাজিত Ôporajito; The Unvanquished) is a 1956 Indian Bengali-language drama film written and directed by Satyajit Ray, and is the second part of The Apu Trilogy."
"Apartment, The (1960)",The Apartment is a 1960 American romantic comedy-drama film directed and produced by Billy Wilder from a screenplay he co-wrote with I. A. L. Diamond.
Apocalypse Now (1979),Apocalypse Now is a 1979 American epic war film produced and directed by Francis Ford Coppola.
Apollo 13 (1995),"Apollo 13 is a 1995 American space docudrama film directed by Ron Howard and starring Tom Hanks, Kevin Bacon, Bill Paxton, Ed Harris, and Gary Sinise."
"Apostle, The (1997)","The Apostle is a 1997 American drama film written and directed by Robert Duvall, who stars in the title role."
"Apple Dumpling Gang, The (1975)",The Apple Dumpling Gang is a 1975 American comedy-Western film directed by Norman Tokar.
Apt Pupil (1998),Apt Pupil is a 1998 American psychological thriller film based on the 1982 novella of the same name by Stephen King.
"Aristocats, The (1970)",The Aristocats is a 1970 American animated romantic musical comedy film produced by Walt Disney Productions and directed by Wolfgang Reitherman.
Army of Darkness (1993),"Army of Darkness is a 1992 American dark fantasy comedy film directed, co-written, and co-edited by Sam Raimi."
Around the World in 80 Days (1956),"Around the World in 80 Days (sometimes spelled as Around the World in Eighty Days) is a 1956 American epic adventure-comedy film starring David Niven, Cantinflas, Robert Newton and Shirley MacLaine, produced by the Michael Todd Company and released by United Artists."
"Arrival, The (1996)","The Arrival is a 1996 science fiction thriller film written and directed by David Twohy and starring Charlie Sheen, and co-starring Lindsay Crouse, Ron Silver, Teri Polo, and Richard Schiff."
Arsenic and Old Lace (1944),Arsenic and Old Lace is a 1944 American screwball mystery black comedy film directed by Frank Capra and starring Cary Grant.
As Good As It Gets (1997),"As Good as It Gets is a 1997 American romantic comedy-drama film directed by James L. Brooks, who co-wrote it with Mark Andrus."
Assassins (1995),Assassins is a 1995 American action thriller film directed by Richard Donner.
"Assignment, The (1997)","The Assignment is a 1997 spy action thriller film directed by Christian Duguay and starring Aidan Quinn (in two roles), with Donald Sutherland and Ben Kingsley."
"Associate, The (1996)",The Associate is a 1996 American comedy film directed by Donald Petrie and written by Nick Thiel.
Audrey Rose (1977),"Audrey Rose is a 1977 American psychological horror drama film directed by Robert Wise and starring Marsha Mason, Anthony Hopkins, and John Beck."
August (1996),"August is a 1996 British drama film directed by and starring Anthony Hopkins as Ieuan (IPA:j/əɨ/a/n) Davies, and featuring Rhys Ifans in a small role in one of his earliest films, as Griffiths."
Austin Powers: International Man of Mystery (1997),Austin Powers: International Man of Mystery (or simply Austin Powers) is a 1997 American spy comedy film directed by Jay Roach.
"Awfully Big Adventure, An (1995)",An Awfully Big Adventure is a 1995 British coming-of-age film directed by Mike Newell.
Ayn Rand: A Sense of Life (1997),"Ayn Rand: A Sense of Life is a 1996 American documentary film written, produced, and directed by Michael Paxton."
B. Monkey (1998),B. Monkey is a British-American 1998 neo-noir crime film directed by Michael Radford.
"Baby-Sitters Club, The (1995)","The Baby-Sitters Club is a 1995 American comedy-drama film directed by Melanie Mayron, in her feature film directorial debut."
Babyfever (1994),Babyfever is a 1994 American comedy-drama film directed by Henry Jaglom and starring Victoria Foyt.
Back to the Future (1985),Back to the Future is a 1985 American science fiction film directed by Robert Zemeckis and written by Zemeckis and Bob Gale.
Backbeat (1993),Backbeat is a 1994 independent drama film directed by Iain Softley.
Bad Boys (1995),"Bad Boys is a 1995 American buddy cop action comedy film directed by Michael Bay in his feature directorial debut, produced by Don Simpson and Jerry Bruckheimer, and starring Martin Lawrence and Will Smith as two Miami narcotics detectives Marcus Burnett and Mike Lowrey."
Bad Girls (1994),"Bad Girls is a 1994 American Western film directed by Jonathan Kaplan, and written by Ken Friedman and Yolande Turner."
Bad Moon (1996),"Bad Moon is a 1996 Canadian-American horror film written and directed by Eric Red, and produced by James G. Robinson."
Bad Taste (1987),"Bad Taste is a 1987 New Zealand science-fiction comedy horror film directed, produced and filmed by Peter Jackson, who also starred in it and co-wrote the screenplay, along with Tony Hiles and Ken Hammon."
Balto (1995),"Balto is a 1995 animated adventure film directed by Simon Wells, produced by Amblin Entertainment and distributed by Universal Pictures."
Bananas (1971),"Bananas is a 1971 American comedy film directed by Woody Allen and starring Allen, Louise Lasser, and Carlos Montalban."
"Band Wagon, The (1953)","The Band Wagon is a 1953 American musical romantic comedy film directed by Vincente Minnelli, starring Fred Astaire and Cyd Charisse."
Barb Wire (1996),Barb Wire is a 1996 American superhero film based on the Dark Horse Comics character of the same name.
Barbarella (1968),"Barbarella is a 1968 science fiction film directed by Roger Vadim, based on the French comic series of the same name by Jean-Claude Forest."
Basic Instinct (1992),Basic Instinct is a 1992 neo-noir erotic thriller film directed by Paul Verhoeven and written by Joe Eszterhas.
"Basketball Diaries, The (1995)","The Basketball Diaries is a 1995 American biographical crime drama film directed by Scott Kalvert,in his feature directorial debut, and based on an autobiographical novel by the same name written by Jim Carroll."
Basquiat (1996),"Basquiat is a 1996 American biographical drama film directed, written and co-composed by Julian Schnabel in his feature directorial debut."
Bastard Out of Carolina (1996),"Bastard Out of Carolina is a 1996 American drama film made by Showtime Networks, directed by Anjelica Huston."
Batman & Robin (1997),Batman & Robin is a 1997 American superhero film based on the DC Comics characters Batman and Robin by Bill Finger and Bob Kane.
Batman (1989),"Batman is a 1989 superhero film based on the DC Comics character of the same name, created by Bob Kane and Bill Finger."
Batman Forever (1995),"Batman Forever is a 1995 American superhero film directed by Joel Schumacher and produced by Tim Burton, based on the DC Comics character Batman by Bob Kane and Bill Finger."
Batman Returns (1992),Batman Returns is a 1992 American superhero film directed by Tim Burton and written by Daniel Waters.
Baton Rouge (1988),"Baton Rouge is a 1988 Spanish neo-noir thriller film directed by Rafael Moleón which stars Carmen Maura, Victoria Abril, and Antonio Banderas."
Bean (1997),Bean (also known as Bean: The Ultimate Disaster Movie or Bean: The Movie) is a 1997 comedy film directed by Mel Smith and written by Richard Curtis and Robin Driscoll.
"Beans of Egypt, Maine, The (1994)","The Beans of Egypt, Maine (also known as Forbidden Choices) is a 1994 indie drama film directed by Jennifer Warren and starring Martha Plimpton, Kelly Lynch and Rutger Hauer."
Beat the Devil (1954),"Beat the Devil is a 1953 adventure comedy film directed by John Huston, starring Humphrey Bogart, Jennifer Jones, and Gina Lollobrigida, in her American debut, and featuring Robert Morley, Peter Lorre and Bernard Lee."
"Beautician and the Beast, The (1997)","The Beautician and the Beast is a 1997 American romantic comedy film directed by Ken Kwapis, written by Todd Graff, and starring Fran Drescher, Timothy Dalton, Lisa Jakub, Ian McNeice, and Patrick Malahide."
Beauty and the Beast (1991),Beauty and the Beast is a 1991 American animated musical romantic fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.
Beavis and Butt-head Do America (1996),Beavis and Butt-Head Do America is a 1996 American adult animated comedy road film based on the MTV animated television series Beavis and Butt-Head.
Bed of Roses (1996),Bed of Roses is a 1996 American romance drama film written and directed by Michael Goldenberg and starring Christian Slater and Mary Stuart Masterson.
Bedknobs and Broomsticks (1971),Bedknobs and Broomsticks is a 1971 American musical fantasy film directed by Robert Stevenson and songs written by the Sherman Brothers.
Before Sunrise (1995),Before Sunrise is a 1995 romantic-drama film directed by Richard Linklater and co-written by Linklater and Kim Krizan.
Before and After (1996),Before and After is a 1996 American crime drama film based on Rosellen Brown's 1992 novel of the same name about two parents who must deal with the after effects when their son is accused of murder.
Before the Rain (Pred dozhdot) (1994),"Before the Rain (Macedonian: Пред дождот, Pred doždot) is a 1994 Macedonian war film written and directed by Milcho Manchevski, starring Katrin Cartlidge, Rade Šerbedžija, Grégoire Colin and Labina Mitevska, photographed by Manuel Teran, edited by Nicolas Guster and featuring an original score by the Macedonian band Anastasia."
Being Human (1993),"Human trafficking is the trade of humans for the purpose of forced labour, sexual slavery, or commercial sexual exploitation."
Being There (1979),"Being There is a 1979 American satirical comedy-drama film directed by Hal Ashby, based on the 1970 novel of the same name by Jerzy Kosiński."
"Believers, The (1987)","The Believers is a 1987 Canadian-American neo-noir thriller horror-noir film directed by John Schlesinger, starring Martin Sheen, Robert Loggia and Helen Shaver."
Belle de jour (1967),"Belle de Jour (pronounced [bɛl də ʒuʁ]) is a 1967 psychological drama film directed by Luis Buñuel, and starring Catherine Deneuve, Jean Sorel, and Michel Piccoli."
Ben-Hur (1959),"Ben-Hur is a 1959 American epic religious film directed by William Wyler, produced by Sam Zimbalist, and starring Charlton Heston as the title character."
Benny & Joon (1993),"Benny & Joon is a 1993 American romantic comedy-drama film released by Metro-Goldwyn-Mayer about how two eccentric individuals, Sam (Johnny Depp) and Juniper ""Joon"" (Mary Stuart Masterson), find each other and fall in love."
Bent (1997),"Bent is a 1997 British-Japanese drama film directed by Sean Mathias, based on the 1979 play of the same name by Martin Sherman, who also wrote the screenplay."
Best Men (1997),"Men in Black is a 1997 American science fiction action comedy film based on the comic series by Marvel Comics, which was itself based on the conspiracy theory."
Best of the Best 3: No Turning Back (1995),Best of the Best 3: No Turning Back is a 1995 martial arts action film directed by the film's star Phillip Rhee.
Better Off Dead... (1985),Better Off Dead is a 1985 American black comedy film written and directed by Savage Steve Holland.
"Beverly Hillbillies, The (1993)","The Beverly Hillbillies is a 1993 American comedy film directed by Penelope Spheeris, written by Lawrence Konner and Mark Rosenthal, and starring Jim Varney, Diedrich Bader, Dabney Coleman, Erika Eleniak, Cloris Leachman, Rob Schneider, Lea Thompson and Lily Tomlin."
Beverly Hills Cop III (1994),"Beverly Hills Cop III is a 1994 American action comedy film starring Eddie Murphy and directed by John Landis, who had previously worked with Murphy on Trading Places and Coming to America."
Beverly Hills Ninja (1997),"Beverly Hills Ninja is a 1997 American martial arts comedy film directed by Dennis Dugan, written by Mark Feldberg and Mitch Klebanoff."
"Bewegte Mann, Der (1994)","Der bewegte Mann (international title: The Most Desired Man, U.S. title: Maybe ..."
Beyond Rangoon (1995),"Beyond Rangoon is a 1995 drama film directed by John Boorman about Laura Bowman (played by Patricia Arquette), an American tourist who vacations in the country of Burma (now known as Myanmar) in 1988, the year in which the 8888 Uprising takes place."
Bhaji on the Beach (1993),Bhaji on the Beach  is a 1993 British comedy-drama film directed by Gurinder Chadha (in her feature film directorial debut) and written by Meera Syal.
"Big Blue, The (Grand bleu, Le) (1988)","The Big Blue (released in some countries under the French title Le Grand Bleu) is a 1988 drama film in the French Cinéma du look visual style, made by French director Luc Besson."
Big Bully (1996),"Big Bully is a 1996 American black comedy film directed by Steve Miner, written by Mark Steven Johnson and starring Rick Moranis and Tom Arnold as two men, a childhood bully and his victim, as they reconnect as adults."
"Big Green, The (1995)","The Big Green is a 1995 American family sports comedy film by Walt Disney Pictures starring Olivia d'Abo and Steve Guttenberg, written and directed by Holly Goldberg Sloan."
"Big Lebowski, The (1998)","The Big Lebowski () is a 1998 independent crime comedy film written, produced, and directed by Joel and Ethan Coen."
Big Night (1996),Big Night is a 1996 American comedy-drama film co-directed by Campbell Scott and Stanley Tucci.
"Big One, The (1997)","The Big One is a 1997 documentary film written and directed by documentarian filmmaker and activist Michael Moore, and released by Miramax Films."
"Big Sleep, The (1946)",The Big Sleep is a 1946 American film noir directed by Howard Hawks.
"Big Squeeze, The (1996)","Squeeze are an English rock band that came to prominence in the United Kingdom during the new wave period of the late 1970s, and continued recording in the 1980s, 1990s and 2010s."
Billy Madison (1995),Billy Madison is a 1995 American comedy film directed by Tamra Davis.
Bio-Dome (1996),Bio-Dome is a 1996 American comedy film directed by Jason Bloom.
Bird of Prey (1996),"The Birds of Prey is a superhero team featured in several American comic book series, miniseries, and special editions published by DC Comics since 1996."
"Birdcage, The (1996)","The Birdcage is a 1996 American comedy film directed by Mike Nichols, adapted by Elaine May, and starring Robin Williams, Gene Hackman, Nathan Lane, and Dianne Wiest."
"Birds, The (1963)","The Birds is a 1963 American natural horror-thriller film produced and directed by Alfred Hitchcock, released by Universal Pictures."
Bitter Moon (1992),"Bitter Moon is a 1992 erotic romantic thriller film directed by Roman Polanski and starring Peter Coyote, Emmanuelle Seigner, Hugh Grant and Kristin Scott Thomas."
Black Beauty (1994),"Black Beauty is a 1994 family drama film, written and directed by Caroline Thompson in her directorial debut."
Black Sheep (1996),"Black Sheep is a 1996 American comedy film directed by Penelope Spheeris, written by Fred Wolf, starring Chris Farley and David Spade, co-starring Tim Matheson, Christine Ebersole, and Gary Busey."
Blade Runner (1982),"Blade Runner is a 1982 science fiction film directed by Ridley Scott, and written by Hampton Fancher and David Peoples."
Bliss (1997),"Bliss is a 1997 American erotic drama film written and directed by Lance Young, in his film debut."
"Blob, The (1958)",The Blob is a 1958 American independent science fiction horror film directed by Irvin Yeaworth and written by Kay Linaker and Theodore Simonson.
Blood Beach (1981),"Blood Beach is a 1981 American horror film written and directed by Jeffrey Bloom and starring David Huffman, John Saxon, and Burt Young."
Blood For Dracula (Andy Warhol's Dracula) (1974),"Blood for Dracula is a 1974 horror film written and directed by Paul Morrissey and starring Udo Kier, Joe Dallesandro, Maxime McKendry, Stefania Casini, Arno Juerging, and Vittorio de Sica."
Blown Away (1994),"Blown Away is a 1994 American action thriller film directed by Stephen Hopkins and starring Jeff Bridges, Tommy Lee Jones, Forest Whitaker, Suzy Amis, and Lloyd Bridges, and follows a Boston bomb squad member pursuing an Irish bomber, who recently escaped from prison and is targeting the other bomb squad members."
"Blue Angel, The (Blaue Engel, Der) (1930)","The Blue Angel (German: Der blaue Engel) is a 1930 German musical comedy-drama film directed by Josef von Sternberg and starring Marlene Dietrich, Emil Jannings and Kurt Gerron."
Blue Chips (1994),"Blue Chips is a 1994 American sports drama film, directed by William Friedkin, written by Ron Shelton and starring Nick Nolte as a college coach trying to recruit a winning team."
Blue Sky (1994),"Blue Sky is a 1994 American drama film directed by Tony Richardson and starring Jessica Lange, Tommy Lee Jones, Powers Boothe, Carrie Snodgress, Amy Locane, and Chris O'Donnell."
Blue in the Face (1995),Blue in the Face is a 1995 American comedy film directed by Wayne Wang and Paul Auster.
Blues Brothers 2000 (1998),"Blues Brothers 2000 is a 1998 American musical comedy film directed by John Landis from a screenplay written by Landis and Dan Aykroyd, both of whom were also producers, and starring Aykroyd and John Goodman."
"Blues Brothers, The (1980)",The Blues Brothers is a 1980 American musical action comedy film directed by John Landis.
Bob Roberts (1992),"Bob Roberts is a 1992 American satirical mockumentary film written, directed by, and starring Tim Robbins."
Body Parts (1991),"Body Parts is a 1991 American sci-fi body horror film directed by Eric Red and starring Jeff Fahey, Kim Delaney, Brad Dourif, Zakes Mokae, and Lindsay Duncan."
"Body Snatcher, The (1945)","The Body Snatcher is a 1945 American horror film directed by Robert Wise, based on the 1884 short story of the same name by Robert Louis Stevenson."
Body Snatchers (1993),"Body Snatchers is a 1993 American science fiction horror film directed by Abel Ferrara and starring Gabrielle Anwar, Billy Wirth, Terry Kinney, Meg Tilly, Christine Elise, R. Lee Ermey, and Forest Whitaker."
Bogus (1996),"Bogus is a 1996 American urban fantasy film directed by Norman Jewison from a screenplay written by Alvin Sargent, and starring Whoopi Goldberg, Gérard Depardieu, and Haley Joel Osment."
"Bonheur, Le (1965)","Le Bonheur (""Happiness"") is a 1965 French drama film directed by Agnès Varda."
Bonnie and Clyde (1967),Bonnie and Clyde is a 1967 American biographical neo-noir crime film directed by Arthur Penn and starring Warren Beatty and Faye Dunaway as the title characters Clyde Barrow and Bonnie Parker.
Boogie Nights (1997),Boogie Nights is a 1997 American period comedy-drama film written and directed by Paul Thomas Anderson.
Boomerang (1992),Boomerang is a 1992 American romantic comedy film directed by Reginald Hudlin.
"Boot, Das (1981)","Das Boot (German pronunciation: [das ˈboːt], The Boat) is a 1981 West German war film written and directed by Wolfgang Petersen, produced by Günter Rohrbach, and starring Jürgen Prochnow, Herbert Grönemeyer and Klaus Wennemann."
